year,force,fpn_all,fpn_phone,fpn_speed,fpn_camera_speed,fpn_camera
2016,Humberside,13933,1199,4847,50101,50121
2016,Kent,8994,814,2431,15916,15916
2016,Lancashire,15546,1110,5926,58754,58756
2016,Leicestershire,11291,551,6017,34428,41857
2016,Lincolnshire,9669,724,6124,48066,48066
2016,Merseyside,30737,2356,14676,52152,55625
2016,Metropolitan ,128068,25048,19867,62831,76852
2016,Norfolk,36053,3853,16603,71890,71891
2016,North Wales,8994,968,2982,16909,17024
2016,North Yorkshire,6331,589,1608,28851,28851
2016,Northamptonshire,14036,408,7657,44007,44007
2016,Northumbria,9550,800,4493,52581,54886
2016,Nottinghamshire,5946,745,1227,24874,26684
2016,South Wales,9585,999,4630,32659,36064
2016,South Yorkshire,8779,969,1873,39217,42330
2016,Staffordshire,7184,1736,1447,27949,28410
2016,Suffolk,3098,23,7,0,11
2016,Surrey,10465,1503,2793,44939,47912
2016,Sussex,18292,1090,10232,58309,60683
2016,Thames Valley,45027,8259,18458,119817,121687
2016,Warwickshire,9282,705,5783,41402,41449
2016,West Mercia,16313,2491,8691,73298,73363
2016,West Midlands,23376,2338,13083,40014,40014
2016,West Yorkshire,44921,3640,23377,99840,103607
2016,Wiltshire,4372,418,989,0,2
