year,force,breath_tests,acc_all,acc_ksi,acc_speeding,acc_drink,acc_phone,fpn_all,fpn_phone,fpn_speed,fpn_camera_speed,fpn_camera,officers,roads_officers,million_km
2013,West Midlands,18741,5115,826,314,190,13,18314,2037,2945,33843,34226,7186,225,31869
2013,West Yorkshire,14747,4866,767,108,124,5,35700,4468,6752,58300,60258,4790,192,30242
2013,Wiltshire,12515,1477,227,57,78,3,12720,1519,4718,0,0,1028,43,7291
2014,Avon and Somerset,6740,3263,454,133,102,6,8323,956,1371,99388,99425,2652,78,15951
2014,Bedfordshire,5473,1577,213,57,63,12,6059,966,1853,38549,38607,1236,49,5202
2014,Cambridgeshire,12970,2049,346,55,80,10,15369,2137,5273,36138,36154,1344,72,9214
2014,Cheshire,17750,2673,503,75,98,9,13939,2193,4278,40200,43866,2007,105,12090
2014,City of London,943,348,54,6,4,2,1901,246,450,5809,6110,730,10,160
2014,Cleveland,4180,889,146,25,31,4,3997,530,771,6934,6936,1327,33,4159
2014,Cumbria,11606,1397,197,51,41,7,4085,847,992,34847,34847,1133,75,5576
2014,Derbyshire,5577,2400,458,93,73,0,4206,963,887,13154,13154,1879,67,9351
2014,Devon and Cornwall,13408,3967,648,230,186,15,5833,1309,1463,15317,16368,3037,118,14752
2014,Dorset,7086,1826,353,45,62,1,7868,978,3036,17275,17613,1211,50,5514
2014,Durham,5353,1242,181,91,65,6,1999,345,746,6184,6184,1200,74,4734
2014,Essex,14329,4117,688,117,179,24,25166,5078,6515,63952,68194,3070,130,16580
2014,Gloucestershire,5696,798,198,27,30,1,2685,711,813,16639,16652,1108,44,6434
2014,Greater Manchester,19739,4004,683,175,164,18,15061,2822,1155,75027,85056,6334,216,35623
2014,Hampshire,26691,4527,1003,92,130,20,27161,5531,10720,64665,65100,2857,164,17945
2014,Hertfordshire,6412,2634,344,135,87,13,15421,2957,3412,44017,44786,1921,99,11967
2014,Humberside,11285,2689,450,86,95,5,10809,1250,2779,47998,48046,1617,79,7206
2014,Kent,9543,5279,647,194,211,18,5654,873,1186,22490,22490,3281,110,15884
2014,Lancashire,24440,3879,798,133,152,12,7660,1073,1250,59195,59195,2932,132,12381
2014,Leicestershire,5861,2479,341,150,76,13,6963,1182,1231,40040,47318,1988,62,9554
2014,Lincolnshire,13450,2194,347,128,108,14,9174,1570,3936,44691,44691,1071,5,5968
2014,Merseyside,21064,2831,576,90,84,7,29085,3927,6845,37770,42290,3799,129,15480
2014,Metropolitan,58575,25682,2053,636,332,57,105079,21554,14961,64227,69805,32347,735,29175
