LAD16CD,LAD16NM,CSP16CD,CSP16NM,PFA16CD,PFA16NM,FID
E07000124,Ribble Valley,E22000159,Ribble Valley,E23000003,Lancashire,242
E06000034,Thurrock,E22000091,Thurrock,E23000028,Essex,243
W06000009,Pembrokeshire,W14000009,Pembrokeshire,W15000004,Dyfed-Powys,244
E07000199,Tamworth,E22000271,Tamworth,E23000015,Staffordshire,245
E07000065,Wealden,E22000301,Wealden,E23000033,Sussex,246
E08000037,Gateshead,E22000244,Gateshead,E23000007,Northumbria,247
E07000125,Rossendale,E22000160,Rossendale,E23000003,Lancashire,248
E06000035,Medway,E22000143,Medway,E23000032,Kent,249
E07000200,Babergh,E22000373,Western Suffolk,E23000025,Suffolk,250
W06000010,Carmarthenshire,W14000010,Carmarthenshire,W15000004,Dyfed-Powys,251
E07000066,Basildon,E22000079,Basildon,E23000028,Essex,252
E07000201,Forest Heath,E22000373,Western Suffolk,E23000025,Suffolk,253
E08000021,Newcastle upon Tyne,E22000245,Newcastle upon Tyne,E23000007,Northumbria,254
E07000126,South Ribble,E22000161,South Ribble,E23000003,Lancashire,255
E06000036,Bracknell Forest,E22000304,Bracknell Forest,E23000029,Thames Valley,256
W06000011,Swansea,W14000011,Swansea,W15000003,South Wales,257
E07000202,Ipswich,E22000273,Ipswich,E23000025,Suffolk,258
E07000067,Braintree,E22000080,Braintree,E23000028,Essex,259
E07000127,West Lancashire,E22000162,West Lancashire,E23000003,Lancashire,260
E08000022,North Tyneside,E22000246,North Tyneside,E23000007,Northumbria,261
E06000037,West Berkshire,E22000314,West Berkshire,E23000029,Thames Valley,262
W06000012,Neath Port Talbot,W14000012,Neath Port Talbot,W15000003,South Wales,263
E07000203,Mid Suffolk,E22000373,Western Suffolk,E23000025,Suffolk,264
E07000068,Brentwood,E22000081,Brentwood,E23000028,Essex,265
E08000023,South Tyneside,E22000247,South Tyneside,E23000007,Northumbria,266
E07000128,Wyre,E22000163,Wyre,E23000003,Lancashire,267
E06000038,Reading,E22000309,Reading,E23000029,Thames Valley,268
W06000013,Bridgend,W14000013,Bridgend,W15000003,South Wales,269
E07000204,St Edmundsbury,E22000373,Western Suffolk,E23000025,Suffolk,270
E07000069,Castle Point,E22000082,Castle Point,E23000028,Essex,271
E08000024,Sunderland,E22000248,Sunderland,E23000007,Northumbria,272
E07000129,Blaby,E22000164,Blaby,E23000021,Leicestershire,273
