Year,Country,Region,Police force,Offence class (no.),Offence,Offence grouping,Number of endorsable FPNs,Number of non-endorsable FPNs,Total FPNs
2008,England,North East,Durham,22,Noise offences,Lighting and noise offences,,7,7
2008,England,North East,Durham,23,Load offences,Other offences,21,1,22
2008,England,North East,Durham,24,Offences peculiar to motor cycles,Other offences,0,6,6
2008,England,North East,Durham,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,0,0
2008,England,North East,Durham,25b,Seat belt offences,Miscellaneous motoring offences,,1427,1427
2008,England,East of England,Essex,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,89,31,120
2008,England,East of England,Essex,4b,Use of hand-held mobile phone while driving,Careless driving,6553,,6553
2008,England,East of England,Essex,7,Driving licence related offences,"Licence, insurance and record keeping offences",343,0,343
2008,England,East of England,Essex,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",935,,935
2008,England,East of England,Essex,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1409,1409
2008,England,East of England,Essex,13,Vehicle test offences,Vehicle test and condition offences,,3389,3389
2008,England,East of England,Essex,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,323,467,790
2008,England,East of England,Essex,16,Speed limit offences,Speed limit offences,25956,,25956
2008,England,East of England,Essex,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,70,6,76
2008,England,East of England,Essex,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,5140,1155,6295
2008,England,East of England,Essex,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,171,19,190
2008,England,East of England,Essex,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",2,2707,2709
2008,England,East of England,Essex,21,Lighting offences,Lighting and noise offences,,651,651
2008,England,East of England,Essex,22,Noise offences,Lighting and noise offences,,95,95
2008,England,East of England,Essex,23,Load offences,Other offences,21,89,110
2008,England,East of England,Essex,24,Offences peculiar to motor cycles,Other offences,7,40,47
2008,England,East of England,Essex,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,31,31
2008,England,East of England,Essex,25b,Seat belt offences,Miscellaneous motoring offences,,15741,15741
2008,England,South West,Gloucestershire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,22,24,46
2008,England,South West,Gloucestershire,4b,Use of hand-held mobile phone while driving,Careless driving,800,,800
2008,England,South West,Gloucestershire,7,Driving licence related offences,"Licence, insurance and record keeping offences",39,0,39
2008,England,South West,Gloucestershire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",140,,140
2008,England,South West,Gloucestershire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,83,83
2008,England,South West,Gloucestershire,13,Vehicle test offences,Vehicle test and condition offences,,0,0
2008,England,South West,Gloucestershire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,44,506,550
2008,England,South West,Gloucestershire,16,Speed limit offences,Speed limit offences,7547,,7547
2008,England,South West,Gloucestershire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,11,0,11
2008,England,South West,Gloucestershire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,355,53,408
2008,England,South West,Gloucestershire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,22,5,27
2008,England,South West,Gloucestershire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,1053,1054
2008,England,South West,Gloucestershire,21,Lighting offences,Lighting and noise offences,,37,37
2008,England,South West,Gloucestershire,22,Noise offences,Lighting and noise offences,,3,3
2008,England,South West,Gloucestershire,23,Load offences,Other offences,0,7,7
2008,England,South West,Gloucestershire,24,Offences peculiar to motor cycles,Other offences,0,13,13
2008,England,South West,Gloucestershire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,28,28
2008,England,South West,Gloucestershire,25b,Seat belt offences,Miscellaneous motoring offences,,1149,1149
2008,England,North West,Greater Manchester,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,25,28,53
2008,England,North West,Greater Manchester,4b,Use of hand-held mobile phone while driving,Careless driving,6274,,6274
2008,England,North West,Greater Manchester,7,Driving licence related offences,"Licence, insurance and record keeping offences",269,0,269
2008,England,North West,Greater Manchester,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",0,,0
2008,England,North West,Greater Manchester,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,6081,6081
2008,England,North West,Greater Manchester,13,Vehicle test offences,Vehicle test and condition offences,,3,3
2008,England,North West,Greater Manchester,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,207,2764,2971
2008,England,North West,Greater Manchester,16,Speed limit offences,Speed limit offences,37330,,37330
2008,England,North West,Greater Manchester,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,660,199,859
2008,England,North West,Greater Manchester,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,13431,2385,15816
2008,England,North West,Greater Manchester,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,352,960,1312
2008,England,North West,Greater Manchester,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,2853,2854
2008,England,North West,Greater Manchester,21,Lighting offences,Lighting and noise offences,,685,685
2008,England,North West,Greater Manchester,22,Noise offences,Lighting and noise offences,,46,46
2008,England,North West,Greater Manchester,23,Load offences,Other offences,182,311,493
2008,England,North West,Greater Manchester,24,Offences peculiar to motor cycles,Other offences,1,43,44
2008,England,North West,Greater Manchester,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,4,4
2008,England,North West,Greater Manchester,25b,Seat belt offences,Miscellaneous motoring offences,,19918,19918
2008,England,South East,Hampshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,120,43,163
2008,England,South East,Hampshire,4b,Use of hand-held mobile phone while driving,Careless driving,5152,,5152
2008,England,South East,Hampshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",368,0,368
2008,England,South East,Hampshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",858,,858
2008,England,South East,Hampshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,2342,2342
2008,England,South East,Hampshire,13,Vehicle test offences,Vehicle test and condition offences,,1349,1349
2008,England,South East,Hampshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,236,32,268
2008,England,South East,Hampshire,16,Speed limit offences,Speed limit offences,36719,,36719
2008,England,South East,Hampshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,94,50,144
2008,England,South East,Hampshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,1659,1187,2846
2008,England,South East,Hampshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,174,93,267
2008,England,South East,Hampshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",5,3001,3006
2008,England,South East,Hampshire,21,Lighting offences,Lighting and noise offences,,364,364
2008,England,South East,Hampshire,22,Noise offences,Lighting and noise offences,,53,53
2008,England,South East,Hampshire,23,Load offences,Other offences,0,56,56
2008,England,South East,Hampshire,24,Offences peculiar to motor cycles,Other offences,3,68,71
2008,England,South East,Hampshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,2,9,11
2008,England,South East,Hampshire,25b,Seat belt offences,Miscellaneous motoring offences,,8590,8590
2008,England,East of England,Hertfordshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,54,17,71
2008,England,East of England,Hertfordshire,4b,Use of hand-held mobile phone while driving,Careless driving,3637,,3637
2008,England,East of England,Hertfordshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",250,0,250
2008,England,East of England,Hertfordshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",849,,849
2008,England,East of England,Hertfordshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1985,1985
2008,England,East of England,Hertfordshire,13,Vehicle test offences,Vehicle test and condition offences,,1910,1910
2008,England,East of England,Hertfordshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,130,38,168
2008,England,East of England,Hertfordshire,16,Speed limit offences,Speed limit offences,34945,,34945
2008,England,East of England,Hertfordshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,84,25,109
2008,England,East of England,Hertfordshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,2776,0,2776
2008,England,East of England,Hertfordshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,93,1,94
2008,England,East of England,Hertfordshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",3,2233,2236
2008,England,East of England,Hertfordshire,21,Lighting offences,Lighting and noise offences,,181,181
2008,England,East of England,Hertfordshire,22,Noise offences,Lighting and noise offences,,12,12
2008,England,East of England,Hertfordshire,23,Load offences,Other offences,0,10,10
2008,England,East of England,Hertfordshire,24,Offences peculiar to motor cycles,Other offences,6,15,21
